agent_name,model,priming,round,balance
Agent-3,openai,neutral,47,970
Agent-4,openai,neutral,47,820
Agent-5,claude,neutral,47,2200
Agent-6,claude,neutral,47,940
Agent-7,claude,neutral,47,1140
Agent-8,openai,neutral,47,720
Agent-9,claude,neutral,47,560
Agent-1,openai,neutral,48,1110
Agent-10,claude,neutral,48,1390
Agent-11,openai,neutral,48,960
Agent-12,claude,neutral,48,1000
Agent-13,openai,neutral,48,400
Agent-14,claude,neutral,48,1700
Agent-15,openai,neutral,48,1340
Agent-16,claude,neutral,48,420
Agent-2,openai,neutral,48,300
Agent-3,openai,neutral,48,1030
Agent-4,openai,neutral,48,820
Agent-5,claude,neutral,48,2190
Agent-6,claude,neutral,48,880
Agent-7,claude,neutral,48,1080
Agent-8,openai,neutral,48,770
Agent-9,claude,neutral,48,610
Agent-1,openai,neutral,49,1180
Agent-10,claude,neutral,49,1440
Agent-11,openai,neutral,49,1020
Agent-12,claude,neutral,49,1000
Agent-13,openai,neutral,49,350
Agent-14,claude,neutral,49,1760
Agent-15,openai,neutral,49,1340
Agent-16,claude,neutral,49,420
Agent-2,openai,neutral,49,250
Agent-3,openai,neutral,49,1020
Agent-4,openai,neutral,49,770
Agent-5,claude,neutral,49,2190
