agent_name,model,priming,round,balance
Agent-8,claude,strategic,42,1450
Agent-9,claude,strategic,42,2296
Agent-1,openai,neutral,43,925
Agent-10,claude,competitive,43,690
Agent-11,openai,strategic,43,950
Agent-12,openai,competitive,43,1400
Agent-13,openai,cooperative,43,500
Agent-14,openai,cooperative,43,390
Agent-15,claude,cooperative,43,350
Agent-16,openai,competitive,43,640
Agent-2,openai,strategic,43,2014
Agent-3,claude,neutral,43,1310
Agent-4,claude,cooperative,43,1160
Agent-5,claude,competitive,43,1110
Agent-6,openai,neutral,43,850
Agent-7,claude,neutral,43,0
Agent-8,claude,strategic,43,1400
Agent-9,claude,strategic,43,2311
Agent-1,openai,neutral,44,875
Agent-10,claude,competitive,44,690
Agent-11,openai,strategic,44,1000
Agent-12,openai,competitive,44,1400
Agent-13,openai,cooperative,44,450
Agent-14,openai,cooperative,44,380
Agent-15,claude,cooperative,44,400
Agent-16,openai,competitive,44,640
Agent-2,openai,strategic,44,2013
Agent-3,claude,neutral,44,1260
Agent-4,claude,cooperative,44,1200
Agent-5,claude,competitive,44,1110
Agent-6,openai,neutral,44,840
Agent-7,claude,neutral,44,1
Agent-8,claude,strategic,44,1400
Agent-9,claude,strategic,44,2341
Agent-1,openai,neutral,45,875
Agent-10,claude,competitive,45,685
Agent-11,openai,strategic,45,1050
Agent-12,openai,competitive,45,1450
Agent-13,openai,cooperative,45,400
Agent-14,openai,cooperative,45,380
Agent-15,claude,cooperative,45,350
Agent-16,openai,competitive,45,635
Agent-2,openai,strategic,45,2064
Agent-3,claude,neutral,45,1210
Agent-4,claude,cooperative,45,1200
Agent-5,claude,competitive,45,1065
Agent-6,openai,neutral,45,880
Agent-7,claude,neutral,45,0
Agent-8,claude,strategic,45,1400
Agent-9,claude,strategic,45,2356
Agent-1,openai,neutral,46,825
Agent-10,claude,competitive,46,635
Agent-11,openai,strategic,46,1140
Agent-12,openai,competitive,46,1450
Agent-13,openai,cooperative,46,350
Agent-14,openai,cooperative,46,380
Agent-15,claude,cooperative,46,350
Agent-16,openai,competitive,46,685
Agent-2,openai,strategic,46,2164
Agent-3,claude,neutral,46,1160
Agent-4,claude,cooperative,46,1200
Agent-5,claude,competitive,46,1015
Agent-6,openai,neutral,46,890
Agent-7,claude,neutral,46,0
Agent-8,claude,strategic,46,1400
Agent-9,claude,strategic,46,2356
Agent-1,openai,neutral,47,875
Agent-10,claude,competitive,47,585
Agent-11,openai,strategic,47,1100
Agent-12,openai,competitive,47,1450
Agent-13,openai,cooperative,47,350
Agent-14,openai,cooperative,47,430
Agent-15,claude,cooperative,47,350
Agent-16,openai,competitive,47,735
Agent-2,openai,strategic,47,2164
Agent-3,claude,neutral,47,1110
Agent-4,claude,cooperative,47,1200
Agent-5,claude,competitive,47,965
Agent-6,openai,neutral,47,880
Agent-7,claude,neutral,47,0
Agent-8,claude,strategic,47,1450
Agent-9,claude,strategic,47,2356
Agent-1,openai,neutral,48,865
Agent-10,claude,competitive,48,535
Agent-11,openai,strategic,48,1150
Agent-12,openai,competitive,48,1425
Agent-13,openai,cooperative,48,340
Agent-14,openai,cooperative,48,420
Agent-15,claude,cooperative,48,300
Agent-16,openai,competitive,48,685
Agent-2,openai,strategic,48,2164
Agent-3,claude,neutral,48,1105
Agent-4,claude,cooperative,48,1200
Agent-5,claude,competitive,48,1040
Agent-6,openai,neutral,48,880
